Seq. ID.	Class	AMP Probability
PROTEIN_1582	AMP	0.93
PROTEIN_1583	NAMP	0.35
PROTEIN_1584	NAMP	0.36
PROTEIN_1585	AMP	0.59
PROTEIN_1586	AMP	0.94
PROTEIN_1587	NAMP	0.00
PROTEIN_1588	AMP	0.51
PROTEIN_1589	NAMP	0.07
PROTEIN_1590	AMP	0.88
PROTEIN_1591	AMP	0.59
PROTEIN_1592	NAMP	0.01
PROTEIN_1593	AMP	0.95
PROTEIN_1594	AMP	0.99
PROTEIN_1595	NAMP	0.18
PROTEIN_1596	NAMP	0.42
PROTEIN_1597	AMP	0.94
PROTEIN_1598	NAMP	0.46
PROTEIN_1599	AMP	0.74
PROTEIN_1600	AMP	0.80
PROTEIN_1601	AMP	0.94
PROTEIN_1602	AMP	0.99
PROTEIN_1603	AMP	0.74
PROTEIN_1604	AMP	0.87
PROTEIN_1605	NAMP	0.20
PROTEIN_1606	AMP	0.88
PROTEIN_1607	NAMP	0.04
PROTEIN_1608	AMP	0.97
PROTEIN_1609	NAMP	0.41
PROTEIN_1610	AMP	0.89
PROTEIN_1611	AMP	0.95
PROTEIN_1612	NAMP	0.09
PROTEIN_1613	AMP	0.56
PROTEIN_1614	AMP	0.74
PROTEIN_1615	AMP	0.51
PROTEIN_1616	AMP	0.60
PROTEIN_1617	AMP	0.90
PROTEIN_1618	NAMP	0.01
PROTEIN_1619	AMP	0.88
PROTEIN_1620	NAMP	0.04
PROTEIN_1621	NAMP	0.19
PROTEIN_1622	NAMP	0.45
PROTEIN_1623	AMP	0.92
PROTEIN_1624	NAMP	0.03
PROTEIN_1625	NAMP	0.08
PROTEIN_1626	NAMP	0.32
PROTEIN_1627	NAMP	0.48
PROTEIN_1628	AMP	0.88
PROTEIN_1629	AMP	0.98
PROTEIN_1630	AMP	0.91
PROTEIN_1631	NAMP	0.29
PROTEIN_1632	NAMP	0.18
PROTEIN_1633	NAMP	0.18
PROTEIN_1634	NAMP	0.10
PROTEIN_1635	NAMP	0.31
PROTEIN_1636	NAMP	0.16
PROTEIN_1637	AMP	0.60
PROTEIN_1638	NAMP	0.22
PROTEIN_1639	NAMP	0.01
PROTEIN_1640	AMP	0.89
PROTEIN_1641	AMP	0.65
PROTEIN_1642	AMP	0.99
PROTEIN_1643	NAMP	0.02
PROTEIN_1644	AMP	0.91
PROTEIN_1645	AMP	0.96
PROTEIN_1646	AMP	0.85
PROTEIN_1647	NAMP	0.01
PROTEIN_1648	NAMP	0.01
PROTEIN_1649	AMP	0.73
PROTEIN_1650	NAMP	0.32
PROTEIN_1651	AMP	0.52
PROTEIN_1652	NAMP	0.07
PROTEIN_1653	AMP	0.95
PROTEIN_1654	AMP	0.61
PROTEIN_1655	AMP	0.91
PROTEIN_1656	AMP	0.62
PROTEIN_1657	NAMP	0.50
PROTEIN_1658	AMP	1.00
PROTEIN_1659	NAMP	0.26
PROTEIN_1660	AMP	0.87
PROTEIN_1661	AMP	0.89
PROTEIN_1662	AMP	0.65
PROTEIN_1663	AMP	0.84
PROTEIN_1664	AMP	0.96
PROTEIN_1665	AMP	0.74
PROTEIN_1666	NAMP	0.32
PROTEIN_1667	NAMP	0.47
PROTEIN_1668	NAMP	0.47
PROTEIN_1669	AMP	0.91
PROTEIN_1670	AMP	0.92
PROTEIN_1671	AMP	0.99
PROTEIN_1672	AMP	0.92
PROTEIN_1673	NAMP	0.47
PROTEIN_1674	NAMP	0.29
PROTEIN_1675	AMP	0.95
PROTEIN_1676	AMP	0.63
PROTEIN_1677	AMP	0.61
PROTEIN_1678	AMP	1.00
PROTEIN_1679	AMP	0.77
PROTEIN_1680	AMP	0.97
PROTEIN_1681	AMP	0.82
PROTEIN_1682	AMP	0.93
PROTEIN_1683	AMP	0.69
PROTEIN_1684	NAMP	0.27
PROTEIN_1685	AMP	0.91
PROTEIN_1686	AMP	0.60
PROTEIN_1687	NAMP	0.01
PROTEIN_1688	AMP	0.95
PROTEIN_1689	AMP	0.98
PROTEIN_1690	NAMP	0.06
PROTEIN_1691	AMP	0.90
PROTEIN_1692	AMP	0.86
PROTEIN_1693	AMP	0.84
PROTEIN_1694	AMP	0.83
PROTEIN_1695	AMP	0.97
PROTEIN_1696	NAMP	0.10
PROTEIN_1697	AMP	0.91
PROTEIN_1698	NAMP	0.06
PROTEIN_1699	NAMP	0.32
PROTEIN_1700	NAMP	0.22
PROTEIN_1701	AMP	0.94
PROTEIN_1702	AMP	0.81
PROTEIN_1703	NAMP	0.00
PROTEIN_1704	AMP	0.69
PROTEIN_1705	NAMP	0.16
PROTEIN_1706	NAMP	0.18
PROTEIN_1707	AMP	0.85
PROTEIN_1708	AMP	0.55
PROTEIN_1709	AMP	1.00
PROTEIN_1710	NAMP	0.37
PROTEIN_1711	AMP	0.66
PROTEIN_1712	AMP	0.98
PROTEIN_1713	AMP	0.79
PROTEIN_1714	AMP	0.87
PROTEIN_1715	AMP	0.64
PROTEIN_1716	AMP	0.54
PROTEIN_1717	NAMP	0.09
PROTEIN_1718	NAMP	0.40
PROTEIN_1719	AMP	0.92
PROTEIN_1720	AMP	0.93
PROTEIN_1721	AMP	0.90
PROTEIN_1722	NAMP	0.13
PROTEIN_1723	NAMP	0.12
PROTEIN_1724	AMP	0.94
PROTEIN_1725	NAMP	0.01
PROTEIN_1726	NAMP	0.45
PROTEIN_1727	AMP	0.63
PROTEIN_1728	AMP	0.85
PROTEIN_1729	NAMP	0.26
PROTEIN_1730	AMP	0.91
PROTEIN_1731	NAMP	0.01
PROTEIN_1732	AMP	0.71
PROTEIN_1733	AMP	0.95
PROTEIN_1734	AMP	0.92
PROTEIN_1735	NAMP	0.29
PROTEIN_1736	NAMP	0.02
PROTEIN_1737	AMP	0.90
PROTEIN_1738	AMP	0.73
PROTEIN_1739	AMP	0.81
PROTEIN_1740	AMP	0.96
PROTEIN_1741	AMP	0.74
PROTEIN_1742	AMP	0.72
PROTEIN_1743	AMP	0.60
PROTEIN_1744	AMP	0.97
PROTEIN_1745	NAMP	0.28
PROTEIN_1746	AMP	0.92
PROTEIN_1747	AMP	0.87
PROTEIN_1748	AMP	0.82
PROTEIN_1749	AMP	0.92
PROTEIN_1750	AMP	0.84
PROTEIN_1751	AMP	0.88
PROTEIN_1752	NAMP	0.03
PROTEIN_1753	NAMP	0.11
PROTEIN_1754	AMP	0.96
PROTEIN_1755	AMP	0.91
PROTEIN_1756	NAMP	0.41
PROTEIN_1757	AMP	0.94
PROTEIN_1758	AMP	0.94
PROTEIN_1759	NAMP	0.50
PROTEIN_1760	AMP	0.91
PROTEIN_1761	AMP	0.89
PROTEIN_1762	NAMP	0.44
PROTEIN_1763	AMP	0.84
PROTEIN_1764	NAMP	0.01
PROTEIN_1765	AMP	0.99
PROTEIN_1766	AMP	0.89
PROTEIN_1767	AMP	0.99
PROTEIN_1768	AMP	0.61
PROTEIN_1769	AMP	0.94
PROTEIN_1770	AMP	0.76
PROTEIN_1771	AMP	0.90
PROTEIN_1772	AMP	0.99
PROTEIN_1773	NAMP	0.04
PROTEIN_1774	AMP	0.99
PROTEIN_1775	AMP	0.97
PROTEIN_1776	AMP	1.00
PROTEIN_1777	AMP	0.99
PROTEIN_1778	AMP	0.85
PROTEIN_1779	NAMP	0.37
PROTEIN_1780	AMP	0.98
PROTEIN_1781	AMP	0.59
PROTEIN_1782	AMP	0.99
PROTEIN_1783	NAMP	0.16
PROTEIN_1784	AMP	0.71
PROTEIN_1785	NAMP	0.04
PROTEIN_1786	NAMP	0.30
PROTEIN_1787	AMP	0.91
PROTEIN_1788	AMP	0.84
PROTEIN_1789	NAMP	0.25
PROTEIN_1790	AMP	0.97
PROTEIN_1791	AMP	0.71
PROTEIN_1792	NAMP	0.16
PROTEIN_1793	AMP	0.56
PROTEIN_1794	AMP	0.72
PROTEIN_1795	AMP	0.77
PROTEIN_1796	AMP	0.68
PROTEIN_1797	NAMP	0.28
PROTEIN_1798	AMP	0.97
PROTEIN_1799	AMP	0.76
PROTEIN_1800	AMP	0.99
PROTEIN_1801	NAMP	0.40
PROTEIN_1802	AMP	0.90
PROTEIN_1803	AMP	0.81
PROTEIN_1804	AMP	0.84
PROTEIN_1805	NAMP	0.29
PROTEIN_1806	AMP	0.57
PROTEIN_1807	AMP	0.69
PROTEIN_1808	AMP	0.88
PROTEIN_1809	AMP	0.97
PROTEIN_1810	NAMP	0.02
PROTEIN_1811	AMP	0.83
PROTEIN_1812	NAMP	0.06
PROTEIN_1813	NAMP	0.32
PROTEIN_1814	NAMP	0.14
PROTEIN_1815	AMP	0.80
PROTEIN_1816	AMP	0.87
PROTEIN_1817	AMP	0.95
PROTEIN_1818	NAMP	0.00
PROTEIN_1819	NAMP	0.49
PROTEIN_1820	AMP	0.54
PROTEIN_1821	NAMP	0.09
PROTEIN_1822	NAMP	0.31
PROTEIN_1823	AMP	0.65
PROTEIN_1824	NAMP	0.00
PROTEIN_1825	NAMP	0.33
PROTEIN_1826	NAMP	0.32
PROTEIN_1827	AMP	0.72
PROTEIN_1828	AMP	1.00
PROTEIN_1829	AMP	0.97
PROTEIN_1830	NAMP	0.33
PROTEIN_1831	NAMP	0.42
PROTEIN_1832	AMP	0.97
PROTEIN_1833	AMP	0.66
PROTEIN_1834	NAMP	0.18
PROTEIN_1835	NAMP	0.25
PROTEIN_1836	NAMP	0.47
PROTEIN_1837	AMP	0.80
PROTEIN_1838	AMP	0.96
PROTEIN_1839	NAMP	0.36
PROTEIN_1840	NAMP	0.34
PROTEIN_1841	NAMP	0.00
PROTEIN_1842	AMP	0.68
PROTEIN_1843	AMP	0.90
PROTEIN_1844	AMP	0.83
PROTEIN_1845	AMP	0.97
PROTEIN_1846	AMP	0.65
PROTEIN_1847	AMP	0.95
PROTEIN_1848	NAMP	0.13
PROTEIN_1849	AMP	0.93
PROTEIN_1850	AMP	0.95
PROTEIN_1851	AMP	0.94
PROTEIN_1852	AMP	0.78
PROTEIN_1853	AMP	0.92
PROTEIN_1854	NAMP	0.06
PROTEIN_1855	AMP	0.87
PROTEIN_1856	NAMP	0.32
PROTEIN_1857	AMP	0.81
PROTEIN_1858	AMP	0.87
PROTEIN_1859	AMP	0.79
PROTEIN_1860	NAMP	0.29
PROTEIN_1861	AMP	0.66
PROTEIN_1862	NAMP	0.00
PROTEIN_1863	NAMP	0.00
PROTEIN_1864	NAMP	0.29
PROTEIN_1865	AMP	0.94
PROTEIN_1866	AMP	0.74
PROTEIN_1867	AMP	0.97
PROTEIN_1868	AMP	0.80
PROTEIN_1869	NAMP	0.05
PROTEIN_1870	AMP	0.68
PROTEIN_1871	AMP	0.88
PROTEIN_1872	AMP	1.00
PROTEIN_1873	NAMP	0.08
PROTEIN_1874	AMP	0.72
PROTEIN_1875	AMP	0.92
PROTEIN_1876	NAMP	0.01
PROTEIN_1877	AMP	0.81
PROTEIN_1878	AMP	0.52
PROTEIN_1879	NAMP	0.32
PROTEIN_1880	NAMP	0.01
PROTEIN_1881	NAMP	0.02
PROTEIN_1882	AMP	0.90
PROTEIN_1883	AMP	0.98
PROTEIN_1884	NAMP	0.49
PROTEIN_1885	NAMP	0.31
PROTEIN_1886	NAMP	0.45
PROTEIN_1887	AMP	0.70
PROTEIN_1888	NAMP	0.02
PROTEIN_1889	AMP	0.93
PROTEIN_1890	AMP	0.92
PROTEIN_1891	AMP	0.99
PROTEIN_1892	NAMP	0.07
PROTEIN_1893	AMP	0.96
PROTEIN_1894	AMP	0.93
PROTEIN_1895	NAMP	0.32
PROTEIN_1896	AMP	0.80
PROTEIN_1897	AMP	0.78
PROTEIN_1898	AMP	0.72
PROTEIN_1899	AMP	0.86
PROTEIN_1900	AMP	0.77
PROTEIN_1901	AMP	0.89
PROTEIN_1902	NAMP	0.07
PROTEIN_1903	NAMP	0.00
PROTEIN_1904	NAMP	0.23
PROTEIN_1905	NAMP	0.05
PROTEIN_1906	AMP	0.95
PROTEIN_1907	AMP	0.96
PROTEIN_1908	NAMP	0.37
PROTEIN_1909	NAMP	0.20
PROTEIN_1910	AMP	0.58
PROTEIN_1911	NAMP	0.00
PROTEIN_1912	AMP	0.92
PROTEIN_1913	AMP	0.69
PROTEIN_1914	AMP	0.59
PROTEIN_1915	AMP	0.95
PROTEIN_1916	AMP	0.62
PROTEIN_1917	NAMP	0.15
PROTEIN_1918	AMP	0.86
PROTEIN_1919	AMP	0.91
PROTEIN_1920	AMP	0.58
PROTEIN_1921	AMP	0.64
PROTEIN_1922	AMP	0.96
PROTEIN_1923	NAMP	0.01
PROTEIN_1924	AMP	0.95
PROTEIN_1925	NAMP	0.08
PROTEIN_1926	NAMP	0.30
PROTEIN_1927	AMP	0.95
PROTEIN_1928	NAMP	0.10
PROTEIN_1929	AMP	0.92
PROTEIN_1930	NAMP	0.44
PROTEIN_1931	NAMP	0.27
PROTEIN_1932	AMP	0.64
PROTEIN_1933	AMP	0.68
PROTEIN_1934	NAMP	0.02
PROTEIN_1935	NAMP	0.07
PROTEIN_1936	AMP	0.97
PROTEIN_1937	AMP	0.99
PROTEIN_1938	AMP	0.87
PROTEIN_1939	NAMP	0.00
PROTEIN_1940	NAMP	0.31
PROTEIN_1941	AMP	0.79
PROTEIN_1942	AMP	0.97
PROTEIN_1943	NAMP	0.15
PROTEIN_1944	AMP	0.84
PROTEIN_1945	NAMP	0.15
PROTEIN_1946	AMP	0.83
PROTEIN_1947	AMP	0.92
PROTEIN_1948	NAMP	0.46
PROTEIN_1949	AMP	0.89
PROTEIN_1950	AMP	0.85
PROTEIN_1951	AMP	0.98
PROTEIN_1952	NAMP	0.00
PROTEIN_1953	AMP	0.70
PROTEIN_1954	AMP	0.98
PROTEIN_1955	AMP	0.96
PROTEIN_1956	AMP	0.79
PROTEIN_1957	NAMP	0.32
PROTEIN_1958	AMP	0.96
PROTEIN_1959	NAMP	0.10
PROTEIN_1960	AMP	0.97
PROTEIN_1961	AMP	0.55
PROTEIN_1962	AMP	0.94
PROTEIN_1963	NAMP	0.26
PROTEIN_1964	AMP	0.92
PROTEIN_1965	NAMP	0.01
PROTEIN_1966	AMP	0.98
PROTEIN_1967	NAMP	0.23
PROTEIN_1968	AMP	0.85
PROTEIN_1969	NAMP	0.00
PROTEIN_1970	AMP	0.61
PROTEIN_1971	NAMP	0.00
PROTEIN_1972	AMP	0.97
PROTEIN_1973	AMP	0.77
PROTEIN_1974	AMP	0.97
PROTEIN_1975	NAMP	0.37
PROTEIN_1976	AMP	0.93
PROTEIN_1977	NAMP	0.32
PROTEIN_1978	AMP	0.85
PROTEIN_1979	AMP	0.88
PROTEIN_1980	NAMP	0.21
PROTEIN_1981	NAMP	0.44
PROTEIN_1982	AMP	0.79
PROTEIN_1983	AMP	0.87
PROTEIN_1984	NAMP	0.13
PROTEIN_1985	AMP	0.91
PROTEIN_1986	NAMP	0.13
PROTEIN_1987	AMP	0.97
PROTEIN_1988	AMP	0.90
PROTEIN_1989	AMP	0.83
PROTEIN_1990	AMP	0.89
PROTEIN_1991	NAMP	0.01
PROTEIN_1992	NAMP	0.08
PROTEIN_1993	NAMP	0.03
PROTEIN_1994	AMP	0.92
PROTEIN_1995	NAMP	0.05
PROTEIN_1996	AMP	0.99
PROTEIN_1997	AMP	1.00
PROTEIN_1998	AMP	0.78
PROTEIN_1999	NAMP	0.00
PROTEIN_2000	AMP	0.99
PROTEIN_2001	NAMP	0.00
PROTEIN_2002	NAMP	0.35
PROTEIN_2003	AMP	0.93
PROTEIN_2004	AMP	0.81
PROTEIN_2005	AMP	0.99
PROTEIN_2006	AMP	0.98
PROTEIN_2007	AMP	0.85
PROTEIN_2008	AMP	0.95
PROTEIN_2009	AMP	0.60
PROTEIN_2010	AMP	0.53
PROTEIN_2011	AMP	0.72
PROTEIN_2012	AMP	0.90
PROTEIN_2013	AMP	0.98
PROTEIN_2014	AMP	0.74
PROTEIN_2015	AMP	0.62
PROTEIN_2016	AMP	0.83
PROTEIN_2017	AMP	0.57
PROTEIN_2018	AMP	0.64
PROTEIN_2019	AMP	0.76
PROTEIN_2020	AMP	0.62
PROTEIN_2021	AMP	0.99
PROTEIN_2022	NAMP	0.09
PROTEIN_2023	NAMP	0.41
PROTEIN_2024	AMP	1.00
PROTEIN_2025	AMP	0.97
PROTEIN_2026	NAMP	0.16
PROTEIN_2027	AMP	0.98
PROTEIN_2028	AMP	0.68
PROTEIN_2029	AMP	0.84
PROTEIN_2030	NAMP	0.48
PROTEIN_2031	AMP	0.89
PROTEIN_2032	AMP	0.92
PROTEIN_2033	AMP	0.69
PROTEIN_2034	NAMP	0.09
PROTEIN_2035	AMP	1.00
PROTEIN_2036	NAMP	0.48
PROTEIN_2037	NAMP	0.02
PROTEIN_2038	NAMP	0.14
PROTEIN_2039	NAMP	0.18
PROTEIN_2040	AMP	0.97
PROTEIN_2041	AMP	0.90
PROTEIN_2042	NAMP	0.49
PROTEIN_2043	AMP	0.81
PROTEIN_2044	AMP	0.72
PROTEIN_2045	AMP	0.99
PROTEIN_2046	NAMP	0.01
PROTEIN_2047	NAMP	0.46
PROTEIN_2048	NAMP	0.28
PROTEIN_2049	AMP	0.89
PROTEIN_2050	AMP	0.66
PROTEIN_2051	AMP	0.99
PROTEIN_2052	AMP	0.87
PROTEIN_2053	AMP	0.63
PROTEIN_2054	AMP	0.89
PROTEIN_2055	AMP	0.97
PROTEIN_2056	AMP	0.92
PROTEIN_2057	AMP	0.69
PROTEIN_2058	AMP	0.92
PROTEIN_2059	NAMP	0.00
PROTEIN_2060	AMP	0.66
PROTEIN_2061	AMP	0.58
PROTEIN_2062	AMP	0.96
PROTEIN_2063	NAMP	0.03
PROTEIN_2064	AMP	0.92
PROTEIN_2065	AMP	0.99
PROTEIN_2066	NAMP	0.28
PROTEIN_2067	AMP	0.60
PROTEIN_2068	AMP	0.61
PROTEIN_2069	AMP	0.81
PROTEIN_2070	AMP	0.66
PROTEIN_2071	AMP	0.74
PROTEIN_2072	AMP	0.81
PROTEIN_2073	NAMP	0.06
PROTEIN_2074	AMP	0.94
PROTEIN_2075	NAMP	0.45
PROTEIN_2076	AMP	0.72
PROTEIN_2077	AMP	0.79
PROTEIN_2078	AMP	0.78
PROTEIN_2079	AMP	0.77
PROTEIN_2080	AMP	0.78
PROTEIN_2081	AMP	0.77
PROTEIN_2082	AMP	0.85
PROTEIN_2083	AMP	0.90
PROTEIN_2084	AMP	0.90
PROTEIN_2085	NAMP	0.21
PROTEIN_2086	NAMP	0.23
PROTEIN_2087	AMP	0.93
PROTEIN_2088	NAMP	0.47
PROTEIN_2089	AMP	0.68
PROTEIN_2090	AMP	0.95
PROTEIN_2091	AMP	0.78
PROTEIN_2092	NAMP	0.17
PROTEIN_2093	NAMP	0.03
PROTEIN_2094	NAMP	0.03
PROTEIN_2095	AMP	0.96
PROTEIN_2096	AMP	0.85
PROTEIN_2097	AMP	0.54
PROTEIN_2098	AMP	0.60
PROTEIN_2099	NAMP	0.50
PROTEIN_2100	NAMP	0.32
PROTEIN_2101	AMP	0.90
PROTEIN_2102	AMP	0.94
PROTEIN_2103	AMP	0.91
PROTEIN_2104	AMP	0.64
PROTEIN_2105	AMP	0.51
PROTEIN_2106	AMP	0.65
PROTEIN_2107	AMP	0.95
PROTEIN_2108	AMP	0.94
PROTEIN_2109	AMP	0.87
PROTEIN_2110	AMP	0.76
PROTEIN_2111	AMP	0.93
PROTEIN_2112	AMP	0.63
PROTEIN_2113	AMP	0.92
PROTEIN_2114	AMP	0.85
PROTEIN_2115	NAMP	0.01
PROTEIN_2116	AMP	0.98
PROTEIN_2117	AMP	0.92
PROTEIN_2118	AMP	0.82
PROTEIN_2119	NAMP	0.00
PROTEIN_2120	AMP	0.84
PROTEIN_2121	NAMP	0.33
PROTEIN_2122	AMP	0.95
PROTEIN_2123	AMP	0.84
PROTEIN_2124	NAMP	0.02
PROTEIN_2125	NAMP	0.00
PROTEIN_2126	NAMP	0.01
PROTEIN_2127	AMP	0.94
PROTEIN_2128	NAMP	0.31
PROTEIN_2129	AMP	0.96
PROTEIN_2130	NAMP	0.02
PROTEIN_2131	AMP	0.96
PROTEIN_2132	NAMP	0.04
PROTEIN_2133	AMP	0.94
PROTEIN_2134	AMP	0.92
PROTEIN_2135	AMP	0.90
PROTEIN_2136	NAMP	0.15
PROTEIN_2137	AMP	0.93
PROTEIN_2138	AMP	0.98
PROTEIN_2139	AMP	0.96
PROTEIN_2140	AMP	0.83
PROTEIN_2141	AMP	0.89
PROTEIN_2142	NAMP	0.01
PROTEIN_2143	AMP	0.91
PROTEIN_2144	NAMP	0.33
PROTEIN_2145	NAMP	0.37
PROTEIN_2146	AMP	0.78
PROTEIN_2147	AMP	0.93
PROTEIN_2148	NAMP	0.10
PROTEIN_2149	NAMP	0.05
PROTEIN_2150	NAMP	0.33
PROTEIN_2151	NAMP	0.04
PROTEIN_2152	NAMP	0.30
PROTEIN_2153	AMP	0.98
PROTEIN_2154	NAMP	0.17
PROTEIN_2155	NAMP	0.37
PROTEIN_2156	NAMP	0.28
PROTEIN_2157	NAMP	0.14
PROTEIN_2158	AMP	0.72
PROTEIN_2159	AMP	0.98
PROTEIN_2160	NAMP	0.00
PROTEIN_2161	AMP	0.96
PROTEIN_2162	AMP	0.95
PROTEIN_2163	AMP	0.97
PROTEIN_2164	AMP	0.96
PROTEIN_2165	AMP	0.81
PROTEIN_2166	AMP	0.84
PROTEIN_2167	AMP	0.57
PROTEIN_2168	NAMP	0.22
PROTEIN_2169	AMP	0.67
PROTEIN_2170	NAMP	0.49
PROTEIN_2171	AMP	0.91
PROTEIN_2172	AMP	0.98
PROTEIN_2173	AMP	0.99
PROTEIN_2174	NAMP	0.50
PROTEIN_2175	AMP	0.54
PROTEIN_2176	NAMP	0.08
PROTEIN_2177	NAMP	0.10
PROTEIN_2178	NAMP	0.22
PROTEIN_2179	AMP	0.95
PROTEIN_2180	AMP	0.98
PROTEIN_2181	AMP	0.73
PROTEIN_2182	NAMP	0.00
PROTEIN_2183	AMP	0.95
PROTEIN_2184	NAMP	0.27
PROTEIN_2185	NAMP	0.40
PROTEIN_2186	AMP	0.99
PROTEIN_2187	AMP	0.95
PROTEIN_2188	AMP	0.94
PROTEIN_2189	AMP	0.96
PROTEIN_2190	AMP	1.00
PROTEIN_2191	AMP	0.97
PROTEIN_2192	NAMP	0.26
PROTEIN_2193	AMP	0.50
PROTEIN_2194	AMP	0.99
PROTEIN_2195	AMP	0.98
PROTEIN_2196	AMP	0.68
PROTEIN_2197	AMP	0.92
PROTEIN_2198	AMP	0.91
PROTEIN_2199	AMP	0.85
PROTEIN_2200	AMP	0.99
PROTEIN_2201	AMP	0.90
PROTEIN_2202	AMP	0.84
PROTEIN_2203	NAMP	0.00
PROTEIN_2204	NAMP	0.37
PROTEIN_2205	AMP	0.97
PROTEIN_2206	AMP	0.85
PROTEIN_2207	NAMP	0.01
PROTEIN_2208	AMP	0.95
PROTEIN_2209	AMP	0.59
PROTEIN_2210	NAMP	0.00
PROTEIN_2211	AMP	0.75
PROTEIN_2212	AMP	0.78
PROTEIN_2213	AMP	0.90
PROTEIN_2214	AMP	0.83
PROTEIN_2215	AMP	0.98
PROTEIN_2216	AMP	0.96
PROTEIN_2217	AMP	0.54
PROTEIN_2218	AMP	0.89
PROTEIN_2219	AMP	0.88
PROTEIN_2220	AMP	0.85
PROTEIN_2221	AMP	0.57
PROTEIN_2222	AMP	0.96
PROTEIN_2223	NAMP	0.40
PROTEIN_2224	AMP	0.96
PROTEIN_2225	AMP	0.81
PROTEIN_2226	AMP	0.91
PROTEIN_2227	AMP	0.95
PROTEIN_2228	AMP	0.78
PROTEIN_2229	AMP	0.95
PROTEIN_2230	AMP	0.89
PROTEIN_2231	AMP	0.77
PROTEIN_2232	AMP	0.97
PROTEIN_2233	AMP	0.95
PROTEIN_2234	AMP	0.96
PROTEIN_2235	NAMP	0.35
PROTEIN_2236	AMP	0.94
PROTEIN_2237	AMP	0.58
PROTEIN_2238	AMP	0.92
PROTEIN_2239	AMP	0.76
PROTEIN_2240	NAMP	0.24
PROTEIN_2241	AMP	0.93
PROTEIN_2242	AMP	0.81
PROTEIN_2243	NAMP	0.01
PROTEIN_2244	NAMP	0.14
PROTEIN_2245	AMP	0.99
PROTEIN_2246	NAMP	0.04
PROTEIN_2247	AMP	0.97
PROTEIN_2248	NAMP	0.42
PROTEIN_2249	AMP	0.98
PROTEIN_2250	AMP	0.70
PROTEIN_2251	NAMP	0.04
PROTEIN_2252	NAMP	0.10
PROTEIN_2253	NAMP	0.48
PROTEIN_2254	NAMP	0.00
PROTEIN_2255	AMP	0.63
PROTEIN_2256	AMP	0.97
PROTEIN_2257	AMP	0.73
PROTEIN_2258	AMP	0.63
PROTEIN_2259	AMP	0.72
PROTEIN_2260	AMP	1.00
PROTEIN_2261	NAMP	0.25
PROTEIN_2262	NAMP	0.00
PROTEIN_2263	AMP	0.73
PROTEIN_2264	NAMP	0.25
PROTEIN_2265	NAMP	0.38
PROTEIN_2266	NAMP	0.00
PROTEIN_2267	AMP	0.91
PROTEIN_2268	AMP	0.81
PROTEIN_2269	NAMP	0.02
PROTEIN_2270	NAMP	0.06
PROTEIN_2271	AMP	0.92
PROTEIN_2272	NAMP	0.09
PROTEIN_2273	NAMP	0.32
PROTEIN_2274	AMP	0.91
PROTEIN_2275	AMP	0.84
PROTEIN_2276	AMP	0.96
PROTEIN_2277	NAMP	0.48
PROTEIN_2278	NAMP	0.44
PROTEIN_2279	AMP	0.71
PROTEIN_2280	AMP	0.92
PROTEIN_2281	AMP	0.52
PROTEIN_2282	AMP	0.71
PROTEIN_2283	AMP	0.96
PROTEIN_2284	NAMP	0.07
PROTEIN_2285	AMP	0.98
PROTEIN_2286	AMP	0.78
PROTEIN_2287	AMP	0.77
PROTEIN_2288	AMP	0.98
PROTEIN_2289	AMP	0.83
PROTEIN_2290	AMP	0.96
PROTEIN_2291	NAMP	0.05
PROTEIN_2292	AMP	0.84
PROTEIN_2293	NAMP	0.28
PROTEIN_2294	AMP	0.86
PROTEIN_2295	NAMP	0.00
PROTEIN_2296	NAMP	0.00
PROTEIN_2297	AMP	0.83
PROTEIN_2298	AMP	0.83
PROTEIN_2299	NAMP	0.32
PROTEIN_2300	AMP	0.78
PROTEIN_2301	NAMP	0.22
PROTEIN_2302	AMP	0.59
PROTEIN_2303	AMP	0.99
PROTEIN_2304	AMP	0.67
PROTEIN_2305	AMP	0.64
PROTEIN_2306	AMP	0.76
PROTEIN_2307	AMP	0.58
PROTEIN_2308	AMP	0.93
PROTEIN_2309	NAMP	0.04
PROTEIN_2310	AMP	0.83
PROTEIN_2311	AMP	0.74
PROTEIN_2312	AMP	0.92
PROTEIN_2313	NAMP	0.08
PROTEIN_2314	AMP	0.73
PROTEIN_2315	NAMP	0.34
PROTEIN_2316	NAMP	0.01
PROTEIN_2317	AMP	0.98
PROTEIN_2318	NAMP	0.25
PROTEIN_2319	NAMP	0.45
PROTEIN_2320	AMP	0.82
PROTEIN_2321	AMP	0.61
PROTEIN_2322	AMP	0.85
PROTEIN_2323	AMP	0.88
PROTEIN_2324	NAMP	0.42
PROTEIN_2325	AMP	0.87
PROTEIN_2326	AMP	0.74
PROTEIN_2327	AMP	0.98
PROTEIN_2328	AMP	0.73
PROTEIN_2329	AMP	0.82
PROTEIN_2330	AMP	0.72
PROTEIN_2331	NAMP	0.01
PROTEIN_2332	AMP	0.85
PROTEIN_2333	NAMP	0.03
PROTEIN_2334	AMP	0.93
PROTEIN_2335	AMP	0.99
PROTEIN_2336	AMP	0.58
PROTEIN_2337	AMP	0.88
PROTEIN_2338	NAMP	0.30
PROTEIN_2339	AMP	0.94
PROTEIN_2340	NAMP	0.00
PROTEIN_2341	AMP	0.94
PROTEIN_2342	AMP	0.96
PROTEIN_2343	AMP	0.77
